scene_name,object_name,gt_object_name,prompt_text,first_frame_idx,fg_points,bg_points,box,threshold_r1,threshold_r2,min_visible_ratio,angular_gap_threshold,n_layers,n_points_per_layer,boundary_refine,min_compression,tolerance_ratio,api_url
ramen,bowl,bowl,,0,"[[574, 333], [652, 324], [496, 235], [484, 160], [531, 115], [675, 119]]","[[585, 217], [665, 254], [717, 198], [818, 177], [881, 190], [771, 376], [448, 291]]","[426, 33, 922, 418]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,bowl2,bowl2,,79,"[[932, 166]]","[[893, 110], [818, 192], [921, 217], [953, 231], [814, 246]]","[777, 37, 986, 259]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,chopsticks,chopsticks,,79,"[[621, 641], [786, 495]]","[[781, 456], [828, 535], [892, 504]]",,0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,corn,corn,,15,"[[521, 456], [545, 460]]","[[543, 435], [556, 490]]","[504, 421, 568, 504]",0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,egg,egg,,15,"[[425, 238], [485, 329], [447, 308], [436, 272]]","[[397, 370], [401, 322]]","[364, 184, 538, 402]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,glass_of_water,glass of water,,11,"[[744, 586], [706, 471], [816, 418], [834, 306]]","[[645, 263], [542, 532], [859, 595], [924, 470]]","[615, 128, 953, 689]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,kamaboko,kamaboko,,6,"[[576, 278]]","[[521, 289], [574, 215], [627, 255]]",,0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,napkin,napkin,,0,"[[456, 471], [405, 536]]","[[437, 509], [518, 529], [337, 484]]","[340, 434, 565, 590]",0.7,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,nori,nori,,0,"[[864, 154], [921, 163]]","[[794, 303], [827, 362], [733, 136]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,onion_segments,onion segments,,0,"[[758, 275], [766, 258]]","[[709, 255], [753, 232]]","[691, 215, 829, 319]",0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,plate,plate,,0,"[[469, 242], [487, 307], [512, 368], [573, 405], [668, 398], [672, 439], [755, 414], [797, 352], [752, 371], [806, 377], [525, 328]]","[[442, 294], [483, 279]]","[415, 212, 864, 482]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,sake_cup,sake cup,,0,"[[312, 514], [323, 444]]","[[358, 543], [229, 538]]","[221, 380, 369, 561]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,sake_cup2,sake cup2,,80,"[[766, 206], [775, 188]]","[[750, 166], [804, 238]]","[731, 151, 812, 262]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,spoon,spoon,,80,"[[451, 393], [498, 421], [571, 435], [618, 433], [670, 434]]","[[609, 372], [659, 391], [564, 468]]","[431, 336, 699, 481]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,spoon2,spoon2,,80,"[[842, 171], [870, 169], [811, 164], [898, 160], [928, 152], [958, 154]]",[],"[790, 140, 970, 192]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,wavy_noodles,wavy noodles,,80,"[[549, 333]]","[[477, 299], [546, 274], [627, 307], [573, 389]]","[472, 286, 651, 370]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,hand,hand,,127,"[[272, 67]]",[],"[217, 4, 355, 124]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
ramen,plate2,plate2,,80,"[[754, 137], [936, 168]]","[[834, 131], [840, 168]]","[701, 89, 974, 202]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
