scene_name,object_name,gt_object_name,prompt_text,first_frame_idx,fg_points,bg_points,box,threshold_r1,threshold_r2,min_visible_ratio,angular_gap_threshold,n_layers,n_points_per_layer,boundary_refine,min_compression,tolerance_ratio,api_url
teatime,apple,apple,,0,"[[341, 361]]",[],"[309, 332, 382, 392]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,bag_of_cookies,bag of cookies,,0,"[[455, 215]]","[[390, 275], [526, 175]]","[401, 149, 509, 263]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,coffee,coffee,,78,"[[505, 469], [561, 378], [616, 492]]","[[593, 221]]","[424, 235, 673, 585]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,coffee_mug,coffee mug,,78,"[[518, 450], [604, 471]]","[[556, 367], [517, 346], [586, 237], [683, 263], [681, 670]]","[422, 200, 685, 598]",0.7,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,paper_napkin,paper napkin,,0,"[[562, 380], [586, 389]]","[[541, 335], [575, 345], [529, 416]]","[499, 325, 650, 435]",0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,plate,plate,,41,"[[187, 579], [319, 429]]","[[183, 482], [290, 499], [262, 437]]","[87, 331, 400, 648]",0.75,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,sheep,sheep,,9,"[[188, 435], [275, 484], [281, 432], [412, 360], [381, 320], [322, 161], [243, 288]]","[[195, 550], [78, 457], [336, 477], [375, 415], [435, 307]]","[58, 89, 452, 506]",0.3,0.7,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,stuffed_bear,stuffed bear,,0,"[[679, 645], [722, 557], [766, 483], [644, 334], [823, 367], [830, 413], [904, 104], [763, 52], [619, 215], [741, 239]]","[[580, 244], [579, 288], [918, 347], [864, 491], [860, 587]]","[523, 3, 986, 722]",0.3,0.8,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,tea_in_a_glass,tea in a glass,,28,"[[363, 560], [357, 524]]","[[314, 589], [300, 560], [371, 446], [391, 462], [406, 533]]","[281, 453, 435, 597]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,three_cookies,three cookies,,28,"[[81, 627], [166, 611], [127, 573]]","[[97, 696], [217, 689], [175, 539], [58, 518]]","[28, 523, 218, 694]",0.8,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,yellow_pouf,yellow pouf,,128,"[[174, 212], [126, 260]]","[[69, 317], [232, 321], [224, 168]]","[40, 146, 253, 344]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,bear_nose,bear nose,,1,"[[757, 72], [716, 129], [719, 51]]","[[782, 146], [802, 36]]","[675, 14, 810, 167]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,dall_e_brand,dall-e brand,,106,"[[248, 240], [216, 212], [257, 205]]","[[236, 200], [186, 253], [297, 244]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,hooves,hooves,,0,"[[192, 278], [222, 292], [272, 305], [248, 300], [157, 350], [193, 365], [226, 365], [266, 368]]","[[152, 259]]","[138, 246, 297, 396]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
teatime,hooves2,hooves2,,0,"[[196, 282], [220, 293], [248, 298], [273, 304]]",[],"[173, 250, 289, 331]",,,0.01,90,,,,0.1,0.6,
teatime,hooves3,hooves3,,0,"[[161, 345], [191, 358], [227, 364], [270, 367]]",[],"[143, 310, 286, 403]",,,0.01,90,,,,0.1,0.6,
teatime,three_cookies1,three cookies1,,0,"[[409, 290], [444, 290]]","[[441, 273]]",,,,0.01,90,,,,0.1,0.6,
teatime,three_cookies2,three cookies2,,0,"[[443, 272]]",[],"[421, 261, 461, 287]",,,0.01,90,,,,0.1,0.6,
