scene_name,object_name,gt_object_name,prompt_text,first_frame_idx,fg_points,bg_points,box,threshold_r1,threshold_r2,min_visible_ratio,angular_gap_threshold,n_layers,n_points_per_layer,boundary_refine,min_compression,tolerance_ratio,api_url
waldo_kitchen,Stainless_steel_pots,Stainless steel pots,,114,"[[479, 386], [514, 409], [537, 363], [583, 382], [553, 421], [547, 458], [555, 491], [574, 530]]","[[484, 471], [604, 451]]","[429, 305, 630, 569]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,cabinet,cabinet,,88,"[[125, 116], [73, 299]]","[[109, 408], [87, 481], [224, 410], [318, 263], [267, 113]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,dark_cup,dark cup,,134,"[[185, 433], [123, 434]]","[[187, 332], [201, 538], [242, 519]]","[67, 327, 298, 521]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,frog_cup,frog cup,,136,"[[484, 232], [460, 320], [404, 231]]","[[542, 255], [517, 191], [549, 304]]","[353, 164, 567, 402]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,ketchup,ketchup,,86,"[[485, 259], [477, 319]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife,knife,,150,"[[488, 259], [451, 296]]","[[369, 230], [396, 298], [385, 420], [487, 385], [465, 427]]","[346, 134, 544, 447]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife1,knife1,,53,"[[743, 178], [751, 113]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife2,knife2,,53,"[[781, 94], [778, 205]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife3,knife3,,53,"[[814, 111], [805, 179]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife4,knife4,,53,"[[856, 93], [847, 215]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,knife5,knife5,,53,"[[903, 108], [898, 183]]",[],,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,plastic_ladle,plastic ladle,,63,"[[699, 225], [699, 360]]","[[703, 404], [742, 392], [630, 330]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,plate,plate,,133,"[[300, 458], [290, 495], [242, 446], [215, 514], [320, 540]]","[[205, 402], [340, 402], [212, 572]]","[183, 388, 403, 608]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,pot,pot,,66,"[[455, 382], [497, 381], [478, 442], [456, 308], [467, 336], [408, 400]]",[],"[366, 260, 560, 535]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,pour-over_vessel,pour-over vessel,,75,"[[574, 331], [560, 383], [581, 380], [569, 301], [548, 314]]","[[511, 308], [525, 365], [635, 367], [641, 313]]","[488, 270, 652, 436]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,red_cup,red cup,,148,"[[149, 437], [120, 380], [117, 331], [130, 265], [181, 341], [213, 359]]","[[260, 219], [169, 187]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,refrigerator,refrigerator,,57,"[[414, 385], [356, 306], [653, 364], [744, 348], [784, 534], [759, 652], [722, 697], [605, 662], [419, 609], [382, 575], [563, 491]]","[[344, 695], [221, 561], [246, 373], [502, 242], [564, 169], [825, 231], [923, 418]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,sink,sink,,139,"[[151, 497], [88, 296], [288, 89], [630, 78], [813, 237], [857, 450], [841, 637], [726, 622]]","[[501, 616], [578, 611], [574, 474], [434, 478], [324, 437], [364, 405], [443, 360], [478, 360], [591, 356], [638, 255], [557, 214], [489, 212], [436, 181], [271, 217], [448, 250], [340, 311], [313, 317]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,spatula,spatula,,62,"[[592, 276], [593, 344]]","[[565, 193], [535, 358], [626, 413], [643, 326]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,spoon1,spoon1,,133,"[[82, 347]]","[[66, 419], [108, 339]]","[40, 311, 173, 429]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,toaster,toaster,,50,"[[877, 634], [942, 652], [899, 605], [872, 590], [902, 679]]","[[871, 713], [971, 713], [956, 565], [928, 577]]","[798, 548, 982, 709]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,yellow_desk,yellow desk,,53,"[[395, 593], [681, 614], [509, 682], [487, 593], [306, 622]]","[[451, 468], [686, 522], [907, 535], [826, 628], [814, 675], [324, 484], [272, 517], [202, 587], [231, 697], [289, 701]]","[187, 412, 983, 723]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,ottolenghi,ottolenghi,,52,"[[25, 274], [38, 333], [61, 285], [75, 363], [21, 376], [87, 400], [55, 422]]","[[14, 442], [97, 261], [105, 310], [51, 236], [93, 222], [113, 376]]",,0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
waldo_kitchen,plate2,plate2,,153,"[[331, 451], [316, 534], [291, 627], [465, 649], [583, 506], [504, 551], [316, 372]]","[[415, 372], [427, 416], [528, 345], [570, 379], [494, 433], [541, 452], [616, 679], [193, 686], [178, 365], [643, 350]]","[153, 289, 675, 719]",0.4,0.5,0.01,90,4,8,True,0.1,0.6,http://localhost:8000
